Timestamp,Filesystem,Size,Used,Available,Use%,Mounted_on,Inodes_Total,Inodes_Used,Inodes_Free,Inodes_Use%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183052,66925812,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183053,66925811,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183080,66925784,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183080,66925784,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183080,66925784,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183080,66925784,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183080,66925784,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183080,66925784,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/,67108864,183081,66925783,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/mnt/wslg/distro,67108864,183081,66925783,0.27%
2024-10-22_16-37-50,/dev/sdc,1006.85 GB,9.68 GB,945.96 GB,1.0%,/snap,67108864,183081,66925783,0.27%
